,filename,filename_camelcase,pistachio_type,major_axis,minor_axis,area,perimeter,ellipse_area,ellipse_perimeter
0,kirmizi (23).jpg,kirmizi_23.jpg,0,453.4955444335938,220.9945983886719,78732.0,1216.63159263134,78712.65554668287,1120.6656387927858
1,kirmizi 21.jpg,kirmizi_21.jpg,0,464.29174804687494,248.32589721679685,89545.0,1268.371705174446,90553.00346336402,1169.6529137342739
2,kirmizi 35.jpg,kirmizi_35.jpg,0,481.50744628906256,219.24453735351562,82487.0,1223.3767585754395,82912.81694041062,1175.3033349693144
3,kirmizi 475.jpg,kirmizi_475.jpg,0,455.23059082031244,236.37431335449222,83621.5,1189.2173790931702,84512.62668368759,1139.4667571530476
4,kirmizi 313.jpg,kirmizi_313.jpg,0,416.6956481933593,225.59887695312503,73160.5,1095.7026586532593,73832.19493330288,1052.6213531091562
5,kirmizi 307.jpg,kirmizi_307.jpg,0,473.4985046386718,258.2034912109375,94971.5,1258.246816277504,96021.96812563934,1198.075668707834
6,kirmizi 461.jpg,kirmizi_461.jpg,0,426.65600585937494,216.56979370117185,69885.5,1124.9919826984406,72571.42110642693,1062.903039855645
7,kirmizi 449.jpg,kirmizi_449.jpg,0,414.8231506347657,224.57696533203128,70691.5,1117.4772634506226,73167.476382777,1047.8825966975342
8,kirmizi 1135.jpg,kirmizi_1135.jpg,0,453.3786315917969,241.35238647460938,84623.0,1262.999123096466,85941.4201858091,1140.9716932560411
9,kirmizi 878.jpg,kirmizi_878.jpg,0,399.4984741210938,216.24426269531247,67160.0,1078.9747371673584,67849.96063108258,1009.1326979509029
10,kirmizi 1121.jpg,kirmizi_1121.jpg,0,409.9642944335938,222.0991058349609,70286.0,1092.2640624046326,71512.62587976015,1035.7701281921297
11,kirmizi 1109.jpg,kirmizi_1109.jpg,0,432.60815429687506,210.24967956542966,68914.5,1087.3940027952194,71436.46000818249,1068.4988977418457
12,kirmizi 688.jpg,kirmizi_688.jpg,0,430.6498107910157,228.46746826171878,73237.0,1139.7787808179855,77274.91058980332,1082.9536129278085
13,kirmizi 850.jpg,kirmizi_850.jpg,0,476.2228088378905,222.41821289062494,81972.5,1254.388950586319,83189.86518872935,1167.5952681033218
14,kirmizi 844.jpg,kirmizi_844.jpg,0,407.39129638671875,204.56378173828128,64632.5,1079.9625445604324,65453.12276918215,1012.6801221312057
15,kirmizi 111.jpg,kirmizi_111.jpg,0,441.3404846191406,220.21072387695315,76163.5,1305.5016481876373,76331.2041289148,1095.6778676974277
16,kirmizi 677.jpg,kirmizi_677.jpg,0,433.53872680664057,223.57705688476565,75830.0,1224.9158625602722,76128.10408363394,1083.6047761102898
17,kirmizi 663.jpg,kirmizi_663.jpg,0,479.86059570312494,218.95014953613276,81533.5,1205.4183896780014,82518.28936679065,1171.7032129467982
18,kirmizi 105.jpg,kirmizi_105.jpg,0,461.66940307617176,228.72221374511716,81693.0,1182.8326015472412,82933.3712784837,1144.5328854412026
19,kirmizi 893.jpg,kirmizi_893.jpg,0,475.0990905761718,211.6066741943359,78997.0,1245.8031644821167,78959.32771275075,1155.3557346571395
20,kirmizi 887.jpg,kirmizi_887.jpg,0,454.0715026855468,228.5929718017578,79511.0,1180.8914773464203,81522.40844119334,1129.3046285857959
21,kirmizi 139.jpg,kirmizi_139.jpg,0,472.56942749023443,238.47959899902344,85034.0,1217.4600212574005,88512.93382543401,1175.8842874614274
